"Addison County, Vermont","Bennington County, Vermont","Caledonia County, Vermont","Chittenden County, Vermont","Essex County, Vermont","Franklin County, Vermont","Grand Isle County, Vermont","Lamoille County, Vermont","Orange County, Vermont","Orleans County, Vermont","Rutland County, Vermont","Washington County, Vermont","Windham County, Vermont","Windsor County, Vermont"
280,455,366,928,90,465,10,275,201,288,557,415,360,310
324,298,213,793,80,391,42,180,190,209,437,273,263,426
625,848,677,1697,230,897,135,501,649,790,1273,933,858,1062
650,1032,848,2095,281,1074,155,460,736,836,1484,1077,1218,1259
1265,1253,1380,4166,347,1445,301,877,1180,1193,2567,2010,1742,2125
2099,2527,1810,6637,394,2994,501,1436,1820,1697,3636,3409,2403,3168
1797,1339,1222,6616,222,2204,332,943,1292,900,2739,2712,2016,2685
1584,1262,976,8223,93,2411,345,847,1250,714,2307,2791,1586,2811
505,516,315,3289,29,547,173,307,357,217,773,864,725,894
401,519,173,3102,26,452,148,250,264,142,442,629,373,743
