"Accomack County, Virginia","Albemarle County, Virginia","Alleghany County, Virginia","Amelia County, Virginia","Amherst County, Virginia","Appomattox County, Virginia","Arlington County, Virginia","Augusta County, Virginia","Bath County, Virginia","Bedford County, Virginia","Bland County, Virginia","Botetourt County, Virginia","Brunswick County, Virginia","Buchanan County, Virginia","Buckingham County, Virginia","Campbell County, Virginia","Caroline County, Virginia","Carroll County, Virginia","Charles City County, Virginia","Charlotte County, Virginia","Chesterfield County, Virginia","Clarke County, Virginia","Craig County, Virginia","Culpeper County, Virginia","Cumberland County, Virginia","Dickenson County, Virginia","Dinwiddie County, Virginia","Essex County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Floyd County, Virginia","Fluvanna County, Virginia","Franklin County, Virginia","Frederick County, Virginia","Giles County, Virginia","Gloucester County, Virginia","Goochland County, Virginia","Grayson County, Virginia","Greene County, Virginia","Greensville County, Virginia","Halifax County, Virginia","Hanover County, Virginia","Henrico County, Virginia","Henry County, Virginia","Highland County, Virginia","Isle of Wight County, Virginia","James City County, Virginia","King and Queen County, Virginia","King George County, Virginia","King William County, Virginia","Lancaster County, Virginia","Lee County, Virginia","Loudoun County, Virginia","Louisa County, Virginia","Lunenburg County, Virginia","Madison County, Virginia","Mathews County, Virginia","Mecklenburg County, Virginia","Middlesex County, Virginia","Montgomery County, Virginia","Nelson County, Virginia","New Kent County, Virginia","Northampton County, Virginia","Northumberland County, Virginia","Nottoway County, Virginia","Orange County, Virginia","Page County, Virginia","Patrick County, Virginia","Pittsylvania County, Virginia","Powhatan County, Virginia","Prince Edward County, Virginia","Prince George County, Virginia","Prince William County, Virginia","Pulaski County, Virginia","Rappahannock County, Virginia","Richmond County, Virginia","Roanoke County, Virginia","Rockbridge County, Virginia","Rockingham County, Virginia","Russell County, Virginia","Scott County, Virginia","Shenandoah County, Virginia","Smyth County, Virginia","Southampton County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Surry County, Virginia","Sussex County, Virginia","Tazewell County, Virginia","Warren County, Virginia","Washington County, Virginia","Westmoreland County, Virginia","Wise County, Virginia","Wythe County, Virginia","York County, Virginia","Alexandria city, Virginia","Bedford city, Virginia","Bristol city, Virginia","Buena Vista city, Virginia","Charlottesville city, Virginia","Chesapeake city, Virginia","Colonial Heights city, Virginia","Covington city, Virginia","Danville city, Virginia","Emporia city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Franklin city, Virginia","Fredericksburg city, Virginia","Galax city, Virginia","Hampton city, Virginia","Harrisonburg city, Virginia","Hopewell city, Virginia","Lexington city, Virginia","Lynchburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Martinsville city, Virginia","Newport News city, Virginia","Norfolk city, Virginia","Norton city, Virginia","Petersburg city, Virginia","Poquoson city, Virginia","Portsmouth city, Virginia","Radford city, Virginia","Richmond city, Virginia","Roanoke city, Virginia","Salem city, Virginia","Staunton city, Virginia","Suffolk city, Virginia","Virginia Beach city, Virginia","Waynesboro city, Virginia","Williamsburg city, Virginia","Winchester city, Virginia","Barbour County, West Virginia","Berkeley County, West Virginia","Boone County, West Virginia","Braxton County, West Virginia","Brooke County, West Virginia","Cabell County, West Virginia","Calhoun County, West Virginia","Clay County, West Virginia","Doddridge County, West Virginia","Fayette County, West Virginia","Gilmer County, West Virginia","Grant County, West Virginia","Greenbrier County, West Virginia","Hampshire County, West Virginia","Hancock County, West Virginia","Hardy County, West Virginia","Harrison County, West Virginia","Jackson County, West Virginia","Jefferson County, West Virginia","Kanawha County, West Virginia","Lewis County, West Virginia","Lincoln County, West Virginia","Logan County, West Virginia","McDowell County, West Virginia","Marion County, West Virginia","Marshall County, West Virginia","Mason County, West Virginia","Mercer County, West Virginia","Mineral County, West Virginia","Mingo County, West Virginia","Monongalia County, West Virginia","Monroe County, West Virginia","Morgan County, West Virginia","Nicholas County, West Virginia","Ohio County, West Virginia","Pendleton County, West Virginia","Pleasants County, West Virginia","Pocahontas County, West Virginia","Preston County, West Virginia","Putnam County, West Virginia","Raleigh County, West Virginia","Randolph County, West Virginia","Ritchie County, West Virginia","Roane County, West Virginia","Summers County, West Virginia","Taylor County, West Virginia","Tucker County, West Virginia","Tyler County, West Virginia","Upshur County, West Virginia","Wayne County, West Virginia","Webster County, West Virginia","Wetzel County, West Virginia","Wirt County, West Virginia","Wood County, West Virginia","Wyoming County, West Virginia"
612,795,230,139,296,262,1039,791,111,488,101,139,254,597,317,681,241,464,83,232,1805,123,45,288,148,304,347,86,4270,298,133,292,755,312,202,372,49,242,100,243,728,347,3137,859,18,442,416,28,100,123,48,578,750,209,180,83,184,502,46,818,163,90,259,145,271,263,385,222,735,186,433,210,1613,561,35,88,531,204,690,426,443,447,527,273,759,496,47,71,535,232,455,214,933,288,417,597,116,518,76,424,1998,133,120,974,147,92,80,130,369,123,1690,381,395,120,1549,269,22,428,2321,3066,23,784,51,1471,170,4258,1715,166,235,738,3247,304,61,237,281,1249,573,361,308,1881,192,196,50,623,117,161,666,226,345,136,1249,443,386,2290,318,577,876,761,716,411,501,1328,300,660,999,162,236,532,577,123,80,137,390,682,1537,418,170,341,117,336,166,181,213,905,294,339,63,1266,476
371,536,118,135,275,203,666,424,29,396,54,284,263,491,142,417,182,426,75,58,1343,56,11,265,89,275,206,49,2445,75,154,172,551,258,115,224,110,132,67,87,439,370,1974,508,17,238,208,79,145,56,106,383,521,248,174,114,0,268,117,605,147,55,216,79,123,270,277,300,741,61,128,233,1073,239,92,84,377,120,567,493,362,221,349,168,575,431,38,60,898,350,367,159,558,373,350,616,31,228,94,210,1102,59,26,687,77,10,11,138,241,60,1028,219,249,0,731,201,65,307,1484,2212,72,333,0,1070,62,2201,1194,236,177,406,1947,237,15,255,204,690,316,213,169,1215,95,185,17,839,49,140,535,146,457,71,673,357,268,1717,109,462,409,502,544,291,371,818,222,500,556,141,138,507,324,104,21,69,332,336,874,321,160,216,215,217,90,108,318,543,189,198,122,869,441
942,1064,386,139,788,318,1538,1192,83,1154,204,530,500,961,539,1339,663,1211,107,476,3126,84,163,736,278,608,544,209,7588,715,427,244,1738,1235,490,466,242,896,302,327,1466,965,4137,2307,37,538,812,92,230,218,267,932,1437,656,464,371,275,947,214,1564,380,178,325,243,456,696,625,697,2122,256,756,506,3096,986,106,72,1295,503,1430,1016,800,1317,1094,415,1608,799,211,282,1703,665,1825,315,1277,892,631,1481,229,663,301,515,2908,241,154,1616,250,201,76,405,443,323,2852,857,606,92,1494,590,129,503,3291,5018,61,1091,167,2401,355,4042,2349,323,601,1448,4996,487,120,576,548,2566,605,474,705,2427,336,296,378,1420,210,242,975,673,836,512,1663,811,905,4633,672,697,1400,1075,1427,898,848,2271,900,912,1382,523,468,738,748,255,188,391,859,1046,2229,953,242,650,445,618,191,238,793,1282,577,452,193,2140,779
1241,1466,487,341,961,376,1731,1988,90,1836,163,755,423,903,575,1659,588,1393,204,538,5130,144,151,794,465,692,719,364,10396,865,385,412,1620,1995,466,541,267,646,404,229,1189,1491,5788,2190,124,610,1021,306,321,480,335,848,1660,739,482,366,232,910,281,1142,343,298,322,491,336,709,980,823,2216,289,486,526,4558,971,157,107,1871,768,1971,1226,719,1228,1116,450,1875,1352,131,293,1599,576,2073,482,1273,965,832,1896,228,681,173,651,3511,419,209,1495,199,181,87,258,473,153,3206,991,726,60,1729,611,215,273,4505,5594,128,869,156,2518,130,4115,2791,502,630,1616,7944,626,164,606,535,2109,761,417,810,2519,288,342,334,1853,143,368,1052,753,1196,499,2158,893,1016,4407,516,819,1240,666,1783,1171,1063,2105,936,843,1653,560,458,916,1217,294,309,319,972,1694,2261,870,297,691,623,504,243,323,726,1016,326,449,285,2481,707
1625,2036,615,589,1321,526,2399,3682,280,2639,399,1198,631,1240,609,2566,1147,1421,329,582,8495,412,198,1403,402,765,1044,443,16229,1562,902,669,2721,2566,759,1527,584,633,724,461,1373,3093,9202,2995,118,1238,1846,416,507,650,356,1332,4533,1648,403,391,409,1407,467,2867,643,529,331,473,648,1194,1214,981,3064,924,771,1390,8451,1833,338,368,3017,900,3485,1096,1286,1894,1685,685,3217,2573,340,363,2235,1312,2455,692,1557,1582,1845,2588,296,817,224,998,6478,805,247,1962,240,470,179,400,785,299,4410,1407,768,126,2467,877,349,539,6141,7736,133,1374,283,3524,397,6014,3835,1119,815,2684,13446,672,443,838,911,4357,920,703,948,3539,309,380,370,1854,292,534,1898,796,1502,612,2716,1152,1619,8554,879,923,1478,845,2374,1723,1343,2786,863,1030,2174,753,596,1459,1580,311,262,509,1568,2018,3559,1327,630,543,691,814,361,532,1044,2062,434,848,213,3981,964
1669,3873,1090,824,1997,995,3737,4887,348,4430,416,2123,1015,1254,876,3484,1795,1835,403,729,15954,761,463,2452,569,941,1846,648,30219,2240,1061,1313,3757,4128,1190,2128,1127,1069,1122,685,1976,5034,15394,3210,172,1876,2987,403,1055,902,652,1332,8346,1814,638,898,423,1908,613,3674,1267,1320,645,1164,925,2209,1376,1080,4369,1340,976,1892,14284,2490,442,432,5575,1582,4879,1585,1484,2846,1803,999,5898,5118,463,524,2283,2148,3369,1173,2038,1689,3134,4179,376,1024,459,1287,11130,920,237,2039,223,824,226,379,729,381,6743,1630,1062,134,2817,1909,895,600,9782,10315,292,1274,605,5052,489,6554,5163,1535,1383,3794,23574,1250,511,983,950,6034,1591,841,1577,4613,455,443,516,2289,370,840,2388,963,1741,591,3747,1617,2684,10235,598,1250,2051,843,2989,2211,1271,3293,1228,1397,3775,1089,756,1573,2406,389,414,576,2313,3274,3980,1858,596,781,899,921,439,594,1417,2281,416,970,434,5072,1325
1129,3864,660,541,1519,815,4308,3432,99,3541,180,2095,460,661,663,2373,1120,906,322,354,14495,529,235,2294,398,474,1039,471,31692,2511,542,1477,2689,3648,805,1911,996,375,887,304,1159,4647,12191,1930,135,1642,3560,487,988,1078,561,760,9421,1577,286,470,493,956,349,2957,497,881,319,524,454,1534,1040,635,2423,1298,596,1600,14449,1463,234,349,5242,980,3242,1070,879,1718,1095,731,5108,5152,341,348,1664,1748,2278,614,1380,1104,3037,2885,137,527,275,913,10478,779,225,1004,139,713,196,306,544,182,5605,1242,816,170,2043,1250,572,366,6818,5650,74,772,472,3430,298,4584,2675,740,1034,4184,18922,938,277,773,393,4811,814,314,1080,3586,235,394,104,1273,225,461,1270,572,1168,376,2696,1063,2273,7774,586,755,1428,352,2393,1277,1014,1852,816,1123,2731,423,555,768,1438,372,272,167,1097,2875,2710,858,292,395,364,734,366,345,765,1350,323,650,158,2860,870
1090,5064,759,673,1138,629,7973,2794,214,3522,188,1732,294,478,410,2267,1371,763,223,178,18778,957,192,2402,228,387,1182,341,58382,4385,366,1537,1917,4794,546,2162,1487,281,969,159,931,6857,15530,959,85,2345,4629,101,1373,815,551,369,21272,1610,318,634,600,758,570,3252,600,1163,346,508,419,1668,577,389,2004,1862,540,1824,24061,1095,443,261,5036,785,3023,544,752,1893,675,799,7752,8386,237,303,1256,1925,1800,569,1125,802,4809,5806,226,227,118,1246,13532,755,90,809,136,1199,662,137,821,124,5471,829,516,55,1844,1971,518,243,6253,5747,94,567,858,2886,366,4076,2061,937,590,4918,22816,612,352,743,350,4534,1061,363,651,2481,147,181,131,1009,170,231,747,391,834,214,2761,1009,2971,6707,467,528,1151,264,1719,1055,613,1453,791,824,3442,331,487,823,1559,199,320,174,899,2468,2757,607,179,237,263,559,176,202,657,1234,168,493,97,3152,691
349,2702,123,140,206,92,6936,832,83,951,41,594,79,81,68,450,462,157,79,92,7533,538,14,902,97,48,245,73,44372,2292,67,423,692,1700,93,486,504,40,296,14,218,2933,6274,234,41,721,2083,37,834,196,150,19,15917,594,32,121,134,100,116,1113,55,447,76,47,60,517,316,38,532,821,190,511,16111,296,148,62,1560,147,1017,168,63,456,198,136,4026,5473,44,46,270,742,454,154,232,114,2449,3900,34,88,0,428,4740,276,43,277,58,919,546,47,423,13,1536,368,91,48,752,661,366,42,1699,2113,7,121,417,782,80,1886,767,289,283,1529,9122,86,156,288,95,1349,124,87,142,1010,36,17,0,226,12,20,176,112,226,44,483,277,1185,1899,89,69,244,48,543,175,186,448,89,220,1032,48,125,175,521,9,76,35,229,938,592,234,28,70,83,61,45,28,122,136,28,60,14,882,146
249,3104,88,101,69,57,13185,489,18,948,26,587,24,45,31,222,251,37,44,75,6529,494,0,423,49,32,69,51,71657,2262,89,398,417,1024,157,449,1028,64,103,36,179,2209,6363,194,10,541,1775,63,481,66,116,51,19289,303,56,80,130,178,213,1195,68,327,145,119,30,365,118,20,158,495,37,263,15312,214,131,55,1355,302,748,60,88,189,122,114,2144,4531,3,6,296,449,470,68,137,180,1605,6915,17,40,0,668,3592,91,10,223,27,1159,1029,83,342,67,829,211,71,50,634,715,200,107,1426,2027,18,98,412,555,62,2599,566,379,191,1079,6617,158,177,367,32,735,99,72,131,903,8,0,30,122,27,25,298,25,237,39,374,188,727,2631,108,32,115,38,254,183,85,286,106,83,1403,0,53,330,467,35,15,41,172,669,400,81,6,54,0,109,10,36,75,166,4,68,12,589,28
