"Wyoming County, New York","Wyoming County, Pennsylvania","Wyoming County, West Virginia","Albany County, Wyoming","Big Horn County, Wyoming","Campbell County, Wyoming","Carbon County, Wyoming","Converse County, Wyoming","Crook County, Wyoming","Fremont County, Wyoming","Goshen County, Wyoming","Hot Springs County, Wyoming","Johnson County, Wyoming","Laramie County, Wyoming","Lincoln County, Wyoming","Natrona County, Wyoming","Niobrara County, Wyoming","Park County, Wyoming","Platte County, Wyoming","Sheridan County, Wyoming","Sublette County, Wyoming","Sweetwater County, Wyoming","Teton County, Wyoming","Uinta County, Wyoming","Washakie County, Wyoming","Weston County, Wyoming"
250,176,476,311,82,416,148,76,37,343,129,38,38,859,120,770,6,93,108,248,55,431,180,260,34,103
305,201,441,333,53,314,111,89,54,347,154,24,86,505,43,290,17,176,42,38,51,113,23,213,55,37
645,649,779,750,204,207,310,205,138,882,206,107,106,1361,338,1342,37,511,199,501,93,732,207,315,57,75
1012,804,707,394,334,493,370,396,189,1075,506,195,111,1768,364,1797,128,668,259,770,146,843,236,369,305,110
1683,1237,964,818,444,1110,365,322,407,1390,651,221,432,3253,423,2590,72,1207,252,1191,234,1123,407,671,313,267
2548,1654,1325,1505,740,2425,1000,872,467,2337,773,358,687,5315,1207,4450,103,1763,423,1663,566,2170,960,930,559,364
1868,1196,870,1180,543,2543,715,825,363,1643,425,129,339,4294,977,3289,101,1444,372,1422,366,2050,720,1123,387,491
1783,1147,691,1373,474,3229,739,784,358,1629,377,172,395,4921,931,3864,62,1311,449,1430,558,2907,924,1059,266,333
317,243,146,465,145,823,197,216,48,397,151,28,128,1514,221,1217,45,303,138,288,477,969,313,212,120,91
101,180,28,328,59,581,48,150,69,297,51,47,57,822,126,1064,29,213,22,258,130,445,562,170,101,35
