"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"Autauga County, Alabama","14132","66349","75366"
"Baldwin County, Alabama","51903","60864","77416"
"Barbour County, Alabama","6062","43462","53168"
"Bibb County, Alabama","5337","43004","55607"
"Blount County, Alabama","15667","52996","62048"
"Bullock County, Alabama","2389","44933","59486"
"Butler County, Alabama","5346","38500","49463"
"Calhoun County, Alabama","29999","50851","62181"
"Chambers County, Alabama","8999","41040","54364"
"Cherokee County, Alabama","8384","45998","58696"
"Chilton County, Alabama","12109","52092","62649"
"Choctaw County, Alabama","3552","45876","60456"
"Clarke County, Alabama","6219","45518","55799"
"Clay County, Alabama","3920","43598","51713"
"Cleburne County, Alabama","4036","46069","57446"
"Coffee County, Alabama","12998","58898","68788"
"Colbert County, Alabama","15112","50924","60308"
"Conecuh County, Alabama","3438","31966","46231"
"Coosa County, Alabama","2891","46777","53276"
"Covington County, Alabama","10292","43822","57480"
"Crenshaw County, Alabama","3700","48903","63280"
"Cullman County, Alabama","22418","47103","60525"
"Dale County, Alabama","12785","56132","64298"
"Dallas County, Alabama","9770","38063","51593"
"DeKalb County, Alabama","18179","45213","55919"
"Elmore County, Alabama","20863","65479","75720"
"Escambia County, Alabama","9321","36550","49758"
"Etowah County, Alabama","27863","47259","58594"
"Fayette County, Alabama","4814","44034","54485"
"Franklin County, Alabama","8797","46536","57893"
"Geneva County, Alabama","7684","43481","55962"
"Greene County, Alabama","1991","31809","44412"
"Hale County, Alabama","3923","38048","51361"
"Henry County, Alabama","4835","54725","63863"
"Houston County, Alabama","26581","52214","68524"
"Jackson County, Alabama","14635","47380","58353"
"Jefferson County, Alabama","166244","59095","80639"
"Lamar County, Alabama","4435","42470","52560"
"Lauderdale County, Alabama","25263","55673","67337"
"Lawrence County, Alabama","9576","48486","57781"
"Lee County, Alabama","33438","61629","76673"
"Limestone County, Alabama","23059","57858","75139"
"Lowndes County, Alabama","2621","40783","58964"
"Macon County, Alabama","5079","41233","50566"
"Madison County, Alabama","87328","75766","95150"
"Marengo County, Alabama","5734","48116","65415"
"Marion County, Alabama","8912","41733","54556"
"Marshall County, Alabama","24209","48952","62701"
"Mobile County, Alabama","104815","52234","66681"
"Monroe County, Alabama","5653","36807","47888"
"Montgomery County, Alabama","57030","56684","74553"
"Morgan County, Alabama","31975","55536","69855"
"Perry County, Alabama","2307","32108","44356"
"Pickens County, Alabama","5221","38728","47889"
"Pike County, Alabama","7900","46574","62537"
"Randolph County, Alabama","6133","45076","60359"
"Russell County, Alabama","13510","42730","56831"
"St. Clair County, Alabama","23181","57643","70096"
"Shelby County, Alabama","53404","82558","100582"
"Sumter County, Alabama","3179","35594","43421"
"Talladega County, Alabama","22367","43074","55996"
"Tallapoosa County, Alabama","11634","46839","60627"
"Tuscaloosa County, Alabama","44487","58922","74265"
"Walker County, Alabama","18082","46245","60178"
"Washington County, Alabama","4834","50376","60270"
"Wilcox County, Alabama","2572","26739","42839"
"Winston County, Alabama","6560","41113","54200"
"Aleutians East Borough, Alaska","279","67750","81744"
"Aleutians West Census Area, Alaska","623","87159","99072"
"Anchorage Municipality, Alaska","69974","90466","110096"
"Bethel Census Area, Alaska","3226","53224","70049"
"Bristol Bay Borough, Alaska","261","96458","99748"
"Denali Borough, Alaska","414","99091","105670"
"Dillingham Census Area, Alaska","875","56089","79353"
"Fairbanks North Star Borough, Alaska","22895","82930","96382"
"Haines Borough, Alaska","673","68207","71429"
"Hoonah-Angoon Census Area, Alaska","578","60000","77581"
"Juneau City and Borough, Alaska","8012","95112","111220"
"Kenai Peninsula Borough, Alaska","14479","75689","90449"
"Ketchikan Gateway Borough, Alaska","3343","85638","94234"
"Kodiak Island Borough, Alaska","3403","73887","84957"
